country,ico_start,ico_end,price_usd,goal,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
India,10/08/2020,31/12/2020,0.01,1,0.5,100000000.0,500000000.0,YES,Y,1.0,Available ,,,0.005,,https://www.linkedin.com/company/bitfinex-limited/,,,4.0,,1
Cyprus,01/08/2020,31/12/2020,0.1,0,0.6,,84000000.0,n,True,no,Yes,22/07/2019,31/10/2019,,https://www.tycoon.io/whitepaper.pdf,https://www.linkedin.com/company/tycoonio/about/,https://www.github.com/tycoon?tab=repositories,https://www.tycoon.io?utm_source=icobench,4.8,14.0,1.0
UK,01/03/2019,31/12/2020,0.14,1,0.5,,75000000.0,N,no,Y,AVAILABLE,15/12/2018,15/01/2019,,https://mindsync.ai/docs/whitepaper.pdf,https://www.linkedin.com/company/mindsync/,,,4.5,14.0,TRUE
UK,25/06/2020,31/01/2021,0.1,0,0.5,,500000000.0,y,yes,yes,Yes,,,0.1,https://cdn.pointpay.io/WhitePaper__en.pdf?cache=1.4,https://www.linkedin.com/company/pointpay/about/,,,4.7,43.0,T
Seychelles,,,0.06,0,0.4,,400000000.0,y,1.0,1,yes,,,0.03,https://lohncontrol.com/down/LOHN-white-paper-4.3.pdf,https://www.linkedin.com/showcase/lohncontrol,https://www.github.com/lohn7?tab=repositories,https://lohncontrol.com?utm_source=icobench,4.4,16.0,1
Australia,30/07/2018,30/10/2018,0.12,0,423.0,,88000000.0,yes,True,no,AVAILABLE,,,,https://emanate.live/pdf/mn8-whitepaper-v12.pdf,https://www.linkedin.com/company/emanate-live/,https://www.github.com/EmaNonete-official?tab=repositories,https://emanate.live/?utm_source=icobench,4.1,14.0,F
Czech Republic,01/08/2018,03/11/2018,0.1168962,0,0.75,,150000000.0,N,yes,1,available,,,,https://hashbon.com/info/whitepaper_eng.pdf,https://www.linkedin.com/company/hashbon/,https://www.github.com/hashbon?tab=repositories,https://hashbon.com/?utm_source=icobench,4.4,16.0,true
Russia,29/06/2018,,0.0391,0,0.12,,20240000.0,N,true,0,Yes,,,,https://metahash.org/docs/MetaHash_WhitePaper_EN.pdf,,https://www.github.com/metahashorg?tab=repositories,https://metahash.org/?utm_source=icobench,4.3,11.0,1
Belize,01/01/2019,31/12/2020,0.01,0,587.0,,320000000.0,N,0,1,Present,,,,https://coinimp.com/coinimp-white-paper,https://www.linkedin.com/company/coinimp/,https://www.github.com/coinimp?tab=repositories,https://www.coinimp.com/tokensale?utm_source=icobench,4.0,25.0,F
USA,01/05/2018,31/12/2020,0.0042,0,0.34,,68000000000.0,n,0.0,yes,AVAILABLE,,,,https://satt-token.com/files/ico_satt_en.pdf,https://www.linkedin.com/company/atayen-inc/,https://www.github.com/Atayen?tab=repositories,https://www.satt-token.com/?utm_source=icobench,4.5,15.0,true
Australia,01/09/2019,,0.1,0,0.4,,200000000.0,YES,true,Y,available,,,,,TBD,https://www.github.com/Serenity-Energy?tab=repositories,https://serenitysource.com.au/?utm_source=icobench,4.2,28.0,1.0
UK,15/11/2018,31/01/2019,2.892896,0,0.1,,50000000.0,Y,Yes,yes,Available,,,,https://s3.eu-west-2.amazonaws.com/bips-moneybrain/documents/Moneybrain_BiPS_Whitepaper_v1.pdf,https://www.linkedin.com/company/moneybrain-bips/,https://www.github.com/MoneybrainBiPS?tab=repositories,https://bips.moneybrain.com/?utm_source=icobench,3.1,24.0,TRUE
Denmark,,,0.04,0,0.28,,280000000.0,n,Y,N,AVAILABLE,,,,https://hoard.exchange/files/hoard-whitepaper.pdf,TBD,https://www.github.com/hoardexchange?tab=repositories,http://hoard.exchange/index.html?utm_source=icobench,4.3,9.0,1
Singapore,01/06/2019,,,0,,,,no,0.0,N,AVAILABLE,,,,https://dl.kardiachain.io/paper.pdf,https://www.linkedin.com/company/kardiachain,https://www.github.com/kardiachain?tab=repositories,https://www.kardiachain.io?utm_source=icobench,4.3,12.0,TRUE
Gibraltar,23/07/2018,23/10/2018,6.762794955,0,0.6,,2400000.0,YES,Yes,1,yes,,,,https://token.solidified.io/files/Solidified_Whitepaper.pdf,https://www.linkedin.com/company/solidified/,https://www.github.com/solidified-contracts?tab=repositories,https://token.solidified.io/?utm_source=icobench,4.4,12.0,true
UK,30/11/2017,30/11/2017,0.08,0,0.7,,840000000.0,no,Y,no,Present,,,,https://www.terravirtua.io/images/Terra_Virtua_Whitepaper_eng.pdf,https://www.linkedin.com/company/terravirtua/,,https://www.terravirtua.io?utm_source=icobench,3.9,10.0,TRUE
British Virgin Islands,01/07/2020,30/06/2021,1.0,0,0.1,,500000000.0,NO,1,Y,yes,01/07/2020,30/06/2021,1.0,https://ucoincurrency.io/Whitepaper-Ucoin.pdf,https://www.linkedin.com/company/ucoincurrency/,https://www.github.com/ucoincurrency?tab=repositories,https://ucoincurrency.io/?utm_source=icobench,3.4,12.0,TRUE
Netherlands,12/07/2018,06/09/2018,0.017,0,0.5,,500000000.0,n,yes,1.0,Available ,21/06/2018,05/07/2018,0.025,https://attrace.com/pdf/attrace_whitepaper.pdf,https://www.linkedin.com/company/attrace/,https://www.github.com/attrace?tab=repositories,https://attrace.com?utm_source=icobench,3.9,18.0,False
Singapore,08/01/2019,31/01/2019,0.1,0,839.0,,201250000.0,Yes,true,Y,AVAILABLE,01/10/2018,31/10/2018,0.07,https://www.betformcoin.io/Betform-White%20paper%202018_03.pdf,https://www.linkedin.com/company/betform/,https://www.github.com/GameDevICO?tab=repositories,https://www.betformcoin.io/?utm_source=icobench,3.9,9.0,true
Cayman Islands,01/11/2020,31/12/2020,1.0,0,0.1,,300000000.0,YES,True,1.0,AVAILABLE,,,,,https://www.linkedin.com/company/cinemadrom/,,,3.1,13.0,TRUE
UK,22/03/2019,09/05/2019,0.5,0,0.6,,15000000.0,no,true,yes,Available ,,,0.5,https://covex.io/doc/whitepaper.pdf,https://www.linkedin.com/company/covexlab/,https://www.github.com/CoVEXcoin?tab=repositories,https://covex.io/?utm_source=icobench,4.0,13.0,T
Seychelles,12/11/2018,14/12/2018,0.03,0,0.6,,300000000.0,n,0,yes,Present,15/09/2018,31/10/2018,,https://token.crowdforce.io/whitepaper.pdf,https://www.linkedin.com/company/crowdforce/,https://www.github.com/CrowdForceio?tab=repositories,https://token.crowdforce.io/?utm_source=icobench,3.8,15.0,true
Switzerland,,,0.01,0,0.5,,,YES,Yes,yes,Present,,,0.01,,https://www.linkedin.com/company/28174884/,https://www.github.com/Crypto-Potential?tab=repositories,https://crypto-potential.com/?utm_source=icobench,4.0,9.0,True
Switzerland,10/01/2019,21/03/2019,0.2,0,0.62,,55180000.0,Yes,False,Y,Yes,15/12/2018,09/01/2019,0.16,https://cwinex.io/wp-content/uploads/2018/10/CWEX_white_paper.pdf,https://www.linkedin.com/company/cwexio/,https://www.github.com/CWINEX?tab=repositories,https://cwinex.io/?utm_source=icobench,4.1,14.0,0
British Virgin Islands,25/10/2018,12/12/2018,1.0,0,0.3,,30000000.0,Yes,yes,No,available,10/09/2018,24/10/2018,1.0,https://src.gemera.io/src/GemeraWhitePaper.pdf,https://www.linkedin.com/company/gemera/,https://www.github.com/GemeraProject?tab=repositories,https://www.gemera.io/?utm_source=icobench,3.8,14.0,1.0
Malta,01/11/2018,01/01/2019,0.0846,0,0.7,,70000000.0,Y,0,Y,available,26/09/2018,30/10/2018,0.0423,http://ggpro.io/Content/Files/WP.pdf,https://www.linkedin.com/company/ggpro/,https://www.github.com/GGProPlatform?tab=repositories,http://ggpro.io/?utm_source=icobench,4.2,13.0,TRUE
Cayman Islands,23/06/2019,31/12/2020,0.239182192,0,0.9,,2700000000.0,N,True,Y,Yes,19/03/2019,22/06/2019,0.240388501,https://www.govearn.io/white-paper,https://www.linkedin.com/company/berkshire-development-organization/,https://www.github.com/govearn-marketplace?tab=repositories,https://www.govearn.io?utm_source=icobench,4.0,7.0,T
Singapore,31/10/2018,31/08/2018,0.0089,0,0.5,,5000000000.0,yes,1,0,available,,,,https://s3-ap-southeast-1.amazonaws.com/greenlink-io/GreenLink-White-Paper.pdf,https://www.linkedin.com/company/greenlink-io/,https://www.github.com/greenlink-io?tab=repositories,https://www.greenlink.io/?utm_source=icobench,4.1,22.0,True
Germany,,,0.08,0,0.7,,700000000.0,YES,0,0,AVAILABLE,24/09/2019,23/11/2019,0.08,https://www.dropbox.com/s/h8vye9u1gjp97ei/HiveNet_WhitePaper_04.09.2019.pdf?dl=0,https://www.linkedin.com/company/hivenetcloud,https://www.github.com/HiveNetCloud?tab=repositories,https://www.hivenet.cloud/?utm_source=icobench,3.7,12.0,true
USA,04/04/2019,31/12/2019,0.04,0,0.7,,700000000.0,YES,yes,N,Yes,01/12/2018,31/01/2019,0.03,http://bit.ly/PeerionPaper,https://www.linkedin.com/company/hyperionx/,https://www.github.com/hyperionxtech?tab=repositories,https://peerion.io/?utm_source=icobench,4.1,13.0,1.0
Cayman Islands,03/09/2018,30/11/2018,0.02,0,,,900000000.0,N,1.0,0.0,Yes,,,0.02,https://goo.gl/MRK4Ui,https://www.linkedin.com/company/infleum/,https://www.github.com/infleum?tab=repositories,https://infleum.io/?utm_source=icobench,3.9,14.0,1.0
Singapore,09/10/2018,07/11/2018,0.1,0,0.5,,350000000.0,YES,Y,1,available,25/08/2018,08/10/2018,,https://lq8.io/assets/docs/whitepaper_4.pdf,,https://www.github.com/LQ8-Liquid8?tab=repositories,https://lq8.io/?utm_source=icobench,4.2,19.0,TRUE
France,01/03/2019,25/11/2018,0.2871,0,0.7,,11200000.0,YES,True,Y,Available,,,,https://loligo.co/assets/doc/LOLIGO-EN-V0.68.pdf,,https://www.github.com/BlocZero?tab=repositories,https://loligo.co?utm_source=icobench,4.1,11.0,True
Ukraine,01/08/2019,31/08/2019,0.1107175,0,125.0,,125000000.0,No,yes,No,available,10/05/2019,27/05/2019,0.056,https://tokensale.loveaircoffee.com/docs/Whitepaper_en_1.0.pdf,https://www.linkedin.com/company/lac-company/,https://www.github.com/LOVEAirCoffee?tab=repositories,https://tokensale.loveaircoffee.com?utm_source=icobench,3.5,16.0,True
Switzerland,31/08/2019,15/03/2019,0.08,0,0.65,,325000000.0,Y,1,1.0,yes,15/01/2019,14/02/2019,0.08,https://medicohealth.io/landing_page/documents/wp-beta.pdf?v=1,https://www.linkedin.com/company/medicohealth/,https://www.github.com/MedicoHealth?tab=repositories,https://medicohealth.io/?utm_source=icobench,4.1,34.0,T
Cayman Islands,04/02/2019,17/02/2019,0.036,0,0.65,,650000000.0,y,yes,yes,Available,14/01/2019,03/02/2019,0.03,https://protocol.please.com/assets/Please.com-Whitepaper.pdf,https://www.linkedin.com/company/pleasedotcom/,https://www.github.com/pleasedotcom?tab=repositories,https://protocol.please.com/?utm_source=icobench,4.0,17.0,1
Malta,20/08/2018,30/09/2018,0.0366,0,0.6,,300000000.0,Y,1.0,Y,Yes,,,0.07,https://www.quickx.io/whitepaper/QuickXProtocolv1.7.pdf,https://www.linkedin.com/company/quickx/,https://www.github.com/quickxprotocol?tab=repositories,https://www.quickx.io/?utm_source=icobench,4.0,21.0,1
Switzerland,,,0.2,0,0.66,,69300000.0,n,Y,Y,Available,08/10/2018,31/01/2019,,https://ico.uris.io/static_files/whitepaper.pdf,TBD,https://www.github.com/uris-io?tab=repositories,https://ico.uris.io?utm_source=icobench,4.0,19.0,1
Netherlands,14/07/2018,13/08/2018,0.04,0,0.5,,200000000.0,Yes,true,1.0,AVAILABLE,11/06/2018,01/07/2018,,https://anythingapp.com/whitepaper.pdf,https://www.linkedin.com/company/anything-app/,https://www.github.com/anythingapp?tab=repositories,https://anything.app?utm_source=icobench,4.0,13.0,1.0
Singapore,15/01/2019,15/02/2019,0.03,0,0.53,,1000000000000.0,yes,True,1,Present,15/08/2018,15/09/2018,0.0195,https://goo.gl/36q7xL,https://www.linkedin.com/company/availcom/,https://www.github.com/AvailCom?tab=repositories,https://availcom.io/?utm_source=icobench,3.9,17.0,1.0
USA,,,0.5,0,0.57,,57000000.0,NO,Y,1,Available,,,0.25,https://bigdatablock.com/wp-content/uploads/2018/04/BigDataBlock_Whitepaper_April2018.pdf,TBD,https://www.github.com/orgs?tab=repositories,https://bigdatablock.com/?utm_source=icobench,4.3,14.0,true
USA,,,0.1,0,0.5,,50000000.0,Yes,Yes,1,yes,26/02/2019,11/06/2019,0.1,,https://www.linkedin.com/company/11368080,https://www.github.com/bincoininc?tab=repositories,https://bincoins.io?utm_source=icobench,3.9,8.0,0.0
USA,02/04/2020,02/05/2020,0.25,0,0.55,,530000000.0,NO,True,no,,01/03/2020,31/03/2020,0.15,https://carnomaly.io/wp-content/uploads/2020/01/Carnomoly_Whitepaper_1.23.20.pdf,https://www.linkedin.com/company/carnomaly/,https://www.github.com/Carnomaly?tab=repositories,https://carnomaly.io/?utm_source=icobench,4.4,3.0,1.0
Bulgaria,,,0.3,0,0.25,,50000000.0,no,Y,1.0,Present,01/06/2019,,0.17,https://cryptoapis.io/docs/CryptoAPIs_WhitePaper.pdf?utm_source=CryptoAPIs&ver=1.2,TBD,https://www.github.com/Crypto-APIs?utm_source=icobench?tab=repositories,https://cryptoapis.io/?utm_source=icobench,3.9,7.0,True
British Virgin Islands,,,0.1,1,0.7,,247000000.0,yes,1,1.0,AVAILABLE,29/05/2018,12/06/2018,,https://www.crystals.io/whitepaper.pdf,TBD,https://www.github.com/crystalslove?tab=repositories,https://www.crystals.io/?utm_source=icobench,4.0,13.0,true
Estonia,,,0.1,0,0.85,,748000000.0,No,False,1,yes,15/09/2018,30/09/2018,0.1,https://eiplatform.io/doc/WhitePaper-Eng.pdf,TBD,https://www.github.com/EIPlatform?tab=repositories,https://eiplatform.io/?utm_source=icobench,3.8,29.0,True
France,,,0.2,0,0.3,,150000000.0,no,True,0,Available ,10/10/2017,31/01/2019,,http://whitepaper.embleema.com/,TBD,https://www.github.com/Embleema?tab=repositories,https://www.embleema.com/?utm_source=icobench,4.2,13.0,T
Singapore,,,0.1,0,0.4,,200000000.0,y,yes,Yes,Present,01/10/2018,15/10/2018,,https://everlife.ai/assets/EverLifeAI_Whitepaper.pdf,TBD,https://www.github.com/everlifeai?tab=repositories,http://everlife.ai?utm_source=icobench,3.7,16.0,F
Cayman Islands,01/03/2019,01/03/2019,0.025,0,0.45,,1237500000.0,yes,1,Yes,Available ,01/06/2018,31/07/2018,0.02,https://bit.ly/2LnXznJ,https://www.linkedin.com/company/expercoin/,https://www.github.com/expercoin?tab=repositories,https://www.expercoin.com?utm_source=icobench,3.8,20.0,true
Canada,,,,0,0.5,,1000000000.0,NO,Yes,N,AVAILABLE,,,,https://fansunite.io/whitepaper.pdf,TBD,https://www.github.com/FansUnite12?tab=repositories,https://fansunite.io/?utm_source=icobench,3.9,14.0,true
UK,15/06/2018,01/07/2018,0.05,1,0.6,,600000000.0,NO,true,Y,,01/06/2018,15/06/2018,0.04,http://www.farmatrust.io/#whitepaper,https://www.linkedin.com/company/farmatrust/,https://www.github.com/FarmaTrust?tab=repositories,https://www.farmatrust.io/?utm_source=icobench,4.4,12.0,1.0
Estonia,30/07/2018,08/08/2018,0.130268083,0,0.35,,70000000.0,YES,1.0,1.0,Present,30/07/2018,08/08/2018,0.0999,https://hyperquant.net/en/wp/,https://www.linkedin.com/company/hyperquant/,https://www.github.com/hyperquant-platform?tab=repositories,https://hyperquant.net?utm_source=icobench,3.9,15.0,T
